Directory Name	Species	Common name	Other species names	Species Taxonomy ID	Taxonomic Lineage	Assembly name	NCBI accession	Source of assembly	NCBI assembly name	NCBI assembly status	Assembly submission date	Assembly submitter organization	contig N50 (bp)	scaffold N50 (bp)	No. ancestral genes with intact ORF	No. ancestral genes with inactivating mutations	No. ancestral genes with missing sequences	Species_clean	assem	all	pga	pga_like	pag	assembly	PGA_all_CN	PGA_CN_primary	PGA_like_CN_primary	PAG_CN_primary	Scientific	Diet_Class	Diet-Inv	Diet-Vend	Diet-Vect	Diet-Vfish	Diet-Vunk	Diet-Scav	Diet-Fruit	Diet-Nect	Diet-Seed	Diet-PlantO	Scientific_clean	BodyMass-Value	plant_total_pct	animal_total_pct	plant_total_prop	plant_structural_prop	log10_body_mass	PGA_all_log1p	PGA_log1p	PGA_like_log1p	PAG_log1p	Diet_Group	tip_label
Daubentonia_madagascariensis__aye-aye__HLdauMad2__GCA_023783475.1	Daubentonia madagascariensis	aye-aye		31869	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Chiromyiformes; Daubentoniidae; Daubentonia	HLdauMad2	GCA_023783475.1	NCBI	ASM2378347v1	Contig	2022-06-17	BGI-Shenzhen	27954151	27954151	14439	719	38	Daubentonia madagascariensis	Daubentonia_madagascariensis__aye-aye__HLdauMad2__GCA_023783475.1	2	1	1	0	Daubentonia_madagascariensis__aye-aye__HLdauMad2__GCA_023783475.1	2	1	1	0	Daubentonia madagascariensis	Omnivore	40	0	0	0	0	0	0	20	40	0	Daubentonia madagascariensis	2500.0	60	40	0.6	0.0	3.3979400086720375	1.0986122886681096	0.6931471805599453	0.6931471805599453	0.0	Omnivore	Daubentonia_madagascariensis
Daubentonia_madagascariensis__aye-aye__HLdauMad1__GCA_004027145.1	Daubentonia madagascariensis	aye-aye		31869	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Chiromyiformes; Daubentoniidae; Daubentonia	HLdauMad1	GCA_004027145.1	NCBI	DauMad_v1_BIUU	Scaffold	2019-01-16	Broad Institute	298834	379919	14918	153	125	Daubentonia madagascariensis	Daubentonia_madagascariensis__aye-aye__HLdauMad1__GCA_004027145.1	2	1	1	0	Daubentonia_madagascariensis__aye-aye__HLdauMad1__GCA_004027145.1	2	1	1	0	Daubentonia madagascariensis	Omnivore	40	0	0	0	0	0	0	20	40	0	Daubentonia madagascariensis	2500.0	60	40	0.6	0.0	3.3979400086720375	1.0986122886681096	0.6931471805599453	0.6931471805599453	0.0	Omnivore	Daubentonia_madagascariensis
Delphinus_delphis__Saddleback_dolphin__HLdelDelp3__GCA_030062865.2	Delphinus delphis	Saddleback dolphin	Black Sea dolphin,common dolphin,short-beaked saddleback dolphin	9728	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Delphinidae; Delphinus	HLdelDelp3	GCA_030062865.2	NCBI	ASM3006286v2	Chromosome	2024-03-15	First Institute of Oceanography, Ministry of Natural Resources	54231611	108933991	14635	554	7	Delphinus delphis	Delphinus_delphis__Saddleback_dolphin__HLdelDelp3__GCA_030062865.2	8	1	0	7	Delphinus_delphis__Saddleback_dolphin__HLdelDelp3__GCA_030062865.2	8	1	0	7	Delphinus delphis	Insectivore	80	0	0	20	0	0	0	0	0	0	Delphinus delphis	80000.0	0	100	0.0	0.0	4.903089986991944	2.197224577336219	0.6931471805599453	0.0	2.0794415416798357	Animal_dominant	Delphinus_delphis
Delphinus_delphis__saddleback_dolphin__HLdelDel2__GCA_030062865.1	Delphinus delphis	saddleback dolphin	Black Sea dolphin,short-beaked saddleback dolphin,common dolphin	9728	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Delphinidae; Delphinus	HLdelDel2	GCA_030062865.1	NCBI	ASM3006286v1	Chromosome	2023-05-24	First Institute of Oceanography, Ministry of Natural Resources	54231611	108933991	14628	559	9	Delphinus delphis	Delphinus_delphis__saddleback_dolphin__HLdelDel2__GCA_030062865.1	8	1	0	7	Delphinus_delphis__saddleback_dolphin__HLdelDel2__GCA_030062865.1	8	1	0	7	Delphinus delphis	Insectivore	80	0	0	20	0	0	0	0	0	0	Delphinus delphis	80000.0	0	100	0.0	0.0	4.903089986991944	2.197224577336219	0.6931471805599453	0.0	2.0794415416798357	Animal_dominant	Delphinus_delphis
Eliomys_quercinus__garden_dormouse__HLeliQue1A__GCA_051143605.1	Eliomys quercinus	garden dormouse	Mus quercinus	53277	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Gliridae; Leithiinae; Eliomys	HLeliQue1A	GCA_051143605.1	NCBI			2023-10-26		51740598	108114398	14917	242	37	Eliomys quercinus	Eliomys_quercinus__garden_dormouse__HLeliQue1A__GCA_051143605.1	1	0	1	0	Eliomys_quercinus__garden_dormouse__HLeliQue1A__GCA_051143605.1	1	0	1	0	Eliomys quercinus	Omnivore	30	30	0	0	0	0	20	0	20	0	Eliomys quercinus	115.0	40	60	0.4	0.0	2.060697840353612	0.6931471805599453	0.0	0.6931471805599453	0.0	Omnivore	Eliomys_quercinus
Eliomys_quercinus__garden_dormouse__HLeliQue1B__GCA_051143595.1	Eliomys quercinus	garden dormouse	Mus quercinus	53277	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Gliridae; Leithiinae; Eliomys	HLeliQue1B	GCA_051143595.1	NCBI			2023-10-26		45399149	107541173	13404	984	808	Eliomys quercinus	Eliomys_quercinus__garden_dormouse__HLeliQue1B__GCA_051143595.1	1	0	1	0	Eliomys_quercinus__garden_dormouse__HLeliQue1B__GCA_051143595.1	1	0	1	0	Eliomys quercinus	Omnivore	30	30	0	0	0	0	20	0	20	0	Eliomys quercinus	115.0	40	60	0.4	0.0	2.060697840353612	0.6931471805599453	0.0	0.6931471805599453	0.0	Omnivore	Eliomys_quercinus
Felis_catus__Domestic_cat__HLfelCatu10__GCA_051911835.1	Felis catus	Domestic cat	cats,cat,Korat cats,Felis domesticus,Felis silvestris catus	9685	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Felidae; Felinae; Felis	HLfelCatu10	GCA_051911835.1	NCBI	F.catus_OcraZ1_1.0	Complete Genome	2025-08-11	Ocra Biotechnology Co., Limited	149421202	149421202	15065	123	8	Felis catus	Felis_catus__Domestic_cat__HLfelCatu10__GCA_051911835.1	2	1	1	0	Felis_catus__Domestic_cat__HLfelCatu10__GCA_051911835.1	2	1	1	0	Felis catus	Carnivore	0	100	0	0	0	0	0	0	0	0	Felis catus	2884.8	0	100	0.0	0.0	3.460115709378327	1.0986122886681096	0.6931471805599453	0.6931471805599453	0.0	Animal_dominant	Felis_catus
Felis_catus__domestic_cat__felCat9__GCF_000181335.3	Felis catus	domestic cat	Felis domesticus,cats,Felis silvestris catus,cat	9685	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Felidae; Felinae; Felis	felCat9	GCF_000181335.3	NCBI	Felis_catus_9.0	Chromosome	2017-11-20	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	41915695	83967707	14280	905	11	Felis catus	Felis_catus__domestic_cat__felCat9__GCF_000181335.3	2	1	1	0	Felis_catus__domestic_cat__felCat9__GCF_000181335.3	2	1	1	0	Felis catus	Carnivore	0	100	0	0	0	0	0	0	0	0	Felis catus	2884.8	0	100	0.0	0.0	3.460115709378327	1.0986122886681096	0.6931471805599453	0.6931471805599453	0.0	Animal_dominant	Felis_catus
Inia_geoffrensis__Boutu__HLiniGeo2B__GCA_036417475.1	Inia geoffrensis	Boutu	Amazon dolphin,pink river dolphin,Delphinus geoffrensis,Amazon river dolphin,Amazon porpoise,boto	9725	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Iniidae; Inia	HLiniGeo2B	GCA_036417475.1	NCBI	mIniGeo1.hap2	Chromosome	2024-02-06	Cetaceans Genome Project	41942625	109672245	14084	587	525	Inia geoffrensis	Inia_geoffrensis__Boutu__HLiniGeo2B__GCA_036417475.1	5	1	0	4	Inia_geoffrensis__Boutu__HLiniGeo2B__GCA_036417475.1	5	1	0	4	Inia geoffrensis	Carnivore	10	0	0	90	0	0	0	0	0	0	Inia geoffrensis	129250.0	0	100	0.0	0.0	5.11143055176598	1.791759469228055	0.6931471805599453	0.0	1.6094379124341003	Animal_dominant	Inia_geoffrensis
Inia_geoffrensis__Boutu__HLiniGeo2A__GCA_036417435.1	Inia geoffrensis	Boutu	Amazon dolphin,boto,Amazon river dolphin,Delphinus geoffrensis,pink river dolphin,Amazon porpoise	9725	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Iniidae; Inia	HLiniGeo2A	GCA_036417435.1	NCBI	mIniGeo1.hap1	Chromosome	2024-02-06	Cetaceans Genome Project	40892022	117431308	14616	565	15	Inia geoffrensis	Inia_geoffrensis__Boutu__HLiniGeo2A__GCA_036417435.1	7	1	0	6	Inia_geoffrensis__Boutu__HLiniGeo2A__GCA_036417435.1	7	1	0	6	Inia geoffrensis	Carnivore	10	0	0	90	0	0	0	0	0	0	Inia geoffrensis	129250.0	0	100	0.0	0.0	5.11143055176598	2.0794415416798357	0.6931471805599453	0.0	1.9459101490553132	Animal_dominant	Inia_geoffrensis
Lemur_catta__Ring-tailed_lemur__HLlemCat2__GCF_020740605.2	Lemur catta	Ring-tailed lemur		9447	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Lemuridae; Lemur	HLlemCat2	GCF_020740605.2	NCBI	mLemCat1.pri	Chromosome	2021-11-04	Vertebrate Genomes Project	32529614	102162704	14820	338	38	Lemur catta	Lemur_catta__Ring-tailed_lemur__HLlemCat2__GCF_020740605.2	2	1	1	0	Lemur_catta__Ring-tailed_lemur__HLlemCat2__GCF_020740605.2	2	1	1	0	Lemur catta	Frugivore	0	0	0	0	0	0	80	0	0	20	Lemur catta	2900.0	100	0	1.0	0.2	3.462397997898956	1.0986122886681096	0.6931471805599453	0.6931471805599453	0.0	Plant_dominant	Lemur_catta
Lemur_catta__Ring-tailed_lemur__HLlemCat1__GCA_004024665.1	Lemur catta	Ring-tailed lemur		9447	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Lemuridae; Lemur	HLlemCat1	GCA_004024665.1	NCBI	LemCat_v1_BIUU	Scaffold	2019-01-15	Broad Institute	158439	215715	14555	297	344	Lemur catta	Lemur_catta__Ring-tailed_lemur__HLlemCat1__GCA_004024665.1	2	1	1	0	Lemur_catta__Ring-tailed_lemur__HLlemCat1__GCA_004024665.1	2	1	1	0	Lemur catta	Frugivore	0	0	0	0	0	0	80	0	0	20	Lemur catta	2900.0	100	0	1.0	0.2	3.462397997898956	1.0986122886681096	0.6931471805599453	0.6931471805599453	0.0	Plant_dominant	Lemur_catta
Loxodonta_africana__African_savanna_elephant__HLloxAfr5A__GCA_030014295.1	Loxodonta africana	African savanna elephant	African bush elephant,Elephas africanus,Loxodonta africana africana,African savannah elephant	9785	Mammalia; Theria; Eutheria; Afrotheria; Proboscidea; Elephantidae; Loxodonta	HLloxAfr5A	GCA_030014295.1	NCBI	mLoxAfr1.hap2	Chromosome	2023-05-16	Vertebrate Genomes Project	82653632	119600562	15167	24	5	Loxodonta africana	Loxodonta_africana__African_savanna_elephant__HLloxAfr5A__GCA_030014295.1	2	1	1	0	Loxodonta_africana__African_savanna_elephant__HLloxAfr5A__GCA_030014295.1	2	1	1	0	Loxodonta africana	Herbivore	0	0	0	0	0	0	0	0	0	100	Loxodonta africana	3940034.28	100	0	1.0	1.0	6.595500000391583	1.0986122886681096	0.6931471805599453	0.6931471805599453	0.0	Plant_dominant	Loxodonta_africana
Loxodonta_africana__African_savanna_elephant__HLloxAfr5B__GCA_030020305.1	Loxodonta africana	African savanna elephant	Elephas africanus,African savannah elephant,Loxodonta africana africana,African bush elephant	9785	Mammalia; Theria; Eutheria; Afrotheria; Proboscidea; Elephantidae; Loxodonta	HLloxAfr5B	GCA_030020305.1	NCBI	mLoxAfr1.hap1	Scaffold	2023-05-15	Vertebrate Genomes Project	75907863	116142568	14954	46	196	Loxodonta africana	Loxodonta_africana__African_savanna_elephant__HLloxAfr5B__GCA_030020305.1	2	1	1	0	Loxodonta_africana__African_savanna_elephant__HLloxAfr5B__GCA_030020305.1	2	1	1	0	Loxodonta africana	Herbivore	0	0	0	0	0	0	0	0	0	100	Loxodonta africana	3940034.28	100	0	1.0	1.0	6.595500000391583	1.0986122886681096	0.6931471805599453	0.6931471805599453	0.0	Plant_dominant	Loxodonta_africana
Lycaon_pictus__African_hunting_dog__HLlycPict4A__GCA_040955705.1	Lycaon pictus	African hunting dog	painted hunting dog,ornate wolf,Hyaena picta,African wild dog	9622	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Canidae; Lycaon	HLlycPict4A	GCA_040955705.1	NCBI	LycPic1.final.hap2	Chromosome	2024-08-01	University of Copenhagen	39426608	64477381	15007	175	14	Lycaon pictus	Lycaon_pictus__African_hunting_dog__HLlycPict4A__GCA_040955705.1	2	1	1	0	Lycaon_pictus__African_hunting_dog__HLlycPict4A__GCA_040955705.1	2	1	1	0	Lycaon pictus	Carnivore	0	100	0	0	0	0	0	0	0	0	Lycaon pictus	22050.07	0	100	0.0	0.0	4.34340997251431	1.0986122886681096	0.6931471805599453	0.6931471805599453	0.0	Animal_dominant	Lycaon_pictus
Lycaon_pictus__African_hunting_dog__HLlycPic3	Lycaon pictus	African hunting dog	ornate wolf,painted hunting dog,African wild dog	9622	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Canidae; Lycaon	HLlycPic3	DNA Zoo Consortium	DNA Zoo Consortium			2020-07-12		97659	62683413	13847	914	435	Lycaon pictus	Lycaon_pictus__African_hunting_dog__HLlycPic3	2	1	1	0	Lycaon_pictus__African_hunting_dog__HLlycPic3	2	1	1	0	Lycaon pictus	Carnivore	0	100	0	0	0	0	0	0	0	0	Lycaon pictus	22050.07	0	100	0.0	0.0	4.34340997251431	1.0986122886681096	0.6931471805599453	0.6931471805599453	0.0	Animal_dominant	Lycaon_pictus
Lynx_canadensis__Canada_lynx__HLlynCana2__GCF_007474595.2	Lynx canadensis	Canada lynx	Felis canadensis	61383	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Felidae; Felinae; Lynx	HLlynCana2	GCF_007474595.2	NCBI	mLynCan4.pri.v2	Chromosome	2020-07-14	Vertebrate Genomes Project	7503561	147275701	13860	1250	86	Lynx canadensis	Lynx_canadensis__Canada_lynx__HLlynCana2__GCF_007474595.2	2	1	1	0	Lynx_canadensis__Canada_lynx__HLlynCana2__GCF_007474595.2	2	1	1	0	Lynx canadensis	Carnivore	0	80	0	20	0	0	0	0	0	0	Lynx canadensis	9373.25	0	100	0.0	0.0	3.971890200529151	1.0986122886681096	0.6931471805599453	0.6931471805599453	0.0	Animal_dominant	Lynx_canadensis
Lynx_canadensis__Canada_lynx__HLlynCan1__GCA_007474595.1	Lynx canadensis	Canada lynx	Felis canadensis	61383	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Felidae; Felinae; Lynx	HLlynCan1	GCA_007474595.1	NCBI	mLynCan4_v1.p	Chromosome	2019-07-26	Vertebrate Genomes Project	7503561	146106016	13861	1253	82	Lynx canadensis	Lynx_canadensis__Canada_lynx__HLlynCan1__GCA_007474595.1	2	1	1	0	Lynx_canadensis__Canada_lynx__HLlynCan1__GCA_007474595.1	2	1	1	0	Lynx canadensis	Carnivore	0	80	0	20	0	0	0	0	0	0	Lynx canadensis	9373.25	0	100	0.0	0.0	3.971890200529151	1.0986122886681096	0.6931471805599453	0.6931471805599453	0.0	Animal_dominant	Lynx_canadensis
Macaca_fascicularis__Crab-eating_macaque__HLmacFas8__GCF_037993035.1	Macaca fascicularis	Crab-eating macaque	long-tailed macaque,Macaca cynomolgus,Cynomolgus,Simia fascicularis,cynomolgus monkeys,CYNOMOLGUS,cynomolgus macaque,Macaca irus,crab eating macaque,cynomolgus monkey	9541	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Macaca	HLmacFas8	GCF_037993035.1	NCBI	T2T-MFA8v1.0	Complete Genome	2024-04-05	Shanghai Jiao Tong University	162126771	162126771	15135	53	8	Macaca fascicularis	Macaca_fascicularis__Crab-eating_macaque__HLmacFas8__GCF_037993035.1	14	13	1	0	Macaca_fascicularis__Crab-eating_macaque__HLmacFas8__GCF_037993035.1	14	13	1	0	Macaca fascicularis	Omnivore	50	0	0	0	0	0	40	0	0	10	Macaca fascicularis	3991.5	50	50	0.5	0.1	3.60113613360707	2.70805020110221	2.6390573296152584	0.6931471805599453	0.0	Omnivore	Macaca_fascicularis
Macaca_fascicularis__crab-eating_macaque__HLmacFas7__GCF_012559485.2	Macaca fascicularis	crab-eating macaque	cynomolgus macaque,crab eating macaque,cynomolgus monkeys,long-tailed macaque,Macaca cynomolgus,cynomolgus monkey,Simia fascicularis,Macaca irus	9541	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Macaca	HLmacFas7	GCF_012559485.2	NCBI	MFA1912RKSv2	Chromosome	2021-10-26	Keio University / RIKEN	26251577	149803873	15076	105	15	Macaca fascicularis	Macaca_fascicularis__crab-eating_macaque__HLmacFas7__GCF_012559485.2	1	1	0	0	Macaca_fascicularis__crab-eating_macaque__HLmacFas7__GCF_012559485.2	1	1	0	0	Macaca fascicularis	Omnivore	50	0	0	0	0	0	40	0	0	10	Macaca fascicularis	3991.5	50	50	0.5	0.1	3.60113613360707	0.6931471805599453	0.6931471805599453	0.0	0.0	Omnivore	Macaca_fascicularis
Manis_javanica__Malayan_pangolin__HLmanJava4__GCF_040802235.1	Manis javanica	Malayan pangolin	Sunda pangolin,Javan pangolin	9974	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Pholidota; Manidae; Manis	HLmanJava4	GCF_040802235.1	NCBI	MJ_LKY	Chromosome	2024-07-22	Northeast Forestry University	61244301	141798549	14728	460	8	Manis javanica	Manis_javanica__Malayan_pangolin__HLmanJava4__GCF_040802235.1	2	1	1	0	Manis_javanica__Malayan_pangolin__HLmanJava4__GCF_040802235.1	2	1	1	0	Manis javanica	Insectivore	100	0	0	0	0	0	0	0	0	0	Manis javanica	5150.0	0	100	0.0	0.0	3.711807229041191	1.0986122886681096	0.6931471805599453	0.6931471805599453	0.0	Animal_dominant	Manis_javanica
Manis_javanica__Malayan_pangolin__HLmanJav3__GCA_024605085.1	Manis javanica	Malayan pangolin	Sunda pangolin,Javan pangolin	9974	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Pholidota; Manidae; Manis	HLmanJav3	GCA_024605085.1	NCBI	ASM2460508v1	Contig	2022-08-09	Guangxi University	15813259	15813259	14524	565	107	Manis javanica	Manis_javanica__Malayan_pangolin__HLmanJav3__GCA_024605085.1	2	1	1	0	Manis_javanica__Malayan_pangolin__HLmanJav3__GCA_024605085.1	2	1	1	0	Manis javanica	Insectivore	100	0	0	0	0	0	0	0	0	0	Manis javanica	5150.0	0	100	0.0	0.0	3.711807229041191	1.0986122886681096	0.6931471805599453	0.6931471805599453	0.0	Animal_dominant	Manis_javanica
Marmota_flaviventris__Yellow-bellied_marmot__HLmarFlav2A__GCF_047511675.1	Marmota flaviventris	Yellow-bellied marmot	Arctomys flaviventer	93162	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Sciuridae; Xerinae; Marmotini; Marmota	HLmarFlav2A	GCF_047511675.1	NCBI	mMarFla1.hap1	Chromosome	2025-02-10	Vertebrate Genomes Project	52587502	136846803	15002	185	9	Marmota flaviventris	Marmota_flaviventris__Yellow-bellied_marmot__HLmarFlav2A__GCF_047511675.1	1	0	1	0	Marmota_flaviventris__Yellow-bellied_marmot__HLmarFlav2A__GCF_047511675.1	1	0	1	0	Marmota flaviventris	Herbivore	0	0	0	0	0	0	30	0	30	40	Marmota flaviventris	3349.96	100	0	1.0	0.4	3.5250396214001323	0.6931471805599453	0.0	0.6931471805599453	0.0	Plant_dominant	Marmota_flaviventris
Marmota_flaviventris__Yellow-bellied_marmot__HLmarFlav2B__GCA_047512175.1	Marmota flaviventris	Yellow-bellied marmot	Arctomys flaviventer	93162	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Sciuridae; Xerinae; Marmotini; Marmota	HLmarFlav2B	GCA_047512175.1	NCBI	mMarFla1.hap2	Chromosome	2025-02-10	Vertebrate Genomes Project	47537411	138730837	14446	218	532	Marmota flaviventris	Marmota_flaviventris__Yellow-bellied_marmot__HLmarFlav2B__GCA_047512175.1	1	0	1	0	Marmota_flaviventris__Yellow-bellied_marmot__HLmarFlav2B__GCA_047512175.1	1	0	1	0	Marmota flaviventris	Herbivore	0	0	0	0	0	0	30	0	30	40	Marmota flaviventris	3349.96	100	0	1.0	0.4	3.5250396214001323	0.6931471805599453	0.0	0.6931471805599453	0.0	Plant_dominant	Marmota_flaviventris
Marmota_flaviventris__yellow-bellied_marmot__HLmarFla1__GCA_003676075.2	Marmota flaviventris	yellow-bellied marmot		93162	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Sciuridae; Xerinae; Marmotini; Marmota	HLmarFla1	GCA_003676075.2	NCBI	GSC_YBM_2.0	Scaffold	2019-05-24	Canada's Genomic Enterprise	143681	11407078	14855	252	89	Marmota flaviventris	Marmota_flaviventris__yellow-bellied_marmot__HLmarFla1__GCA_003676075.2	1	0	1	0	Marmota_flaviventris__yellow-bellied_marmot__HLmarFla1__GCA_003676075.2	1	0	1	0	Marmota flaviventris	Herbivore	0	0	0	0	0	0	30	0	30	40	Marmota flaviventris	3349.96	100	0	1.0	0.4	3.5250396214001323	0.6931471805599453	0.0	0.6931471805599453	0.0	Plant_dominant	Marmota_flaviventris
Martes_foina__Beach_marten__HLmarFoin2__GCA_964304585.1	Martes foina	Beach marten	Mustela foina,beech marten	9659	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Musteloidea; Mustelidae; Guloninae; Martes	HLmarFoin2	GCA_964304585.1	NCBI	mMarFoi2.1	Chromosome	2024-11-06	Centro Nacional de Análisis Genómico	64160893	146036623	15033	155	8	Martes foina	Martes_foina__Beach_marten__HLmarFoin2__GCA_964304585.1	2	1	1	0	Martes_foina__Beach_marten__HLmarFoin2__GCA_964304585.1	2	1	1	0	Martes foina	Carnivore	0	50	0	0	20	0	20	0	0	10	Martes foina	1540.8	30	70	0.3	0.1	3.1877462697804595	1.0986122886681096	0.6931471805599453	0.6931471805599453	0.0	Animal_dominant	Martes_foina
Martes_foina__beach_marten__HLmarFoi1	Martes foina	beach marten	beech marten	9659	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Musteloidea; Mustelidae; Guloninae; Martes	HLmarFoi1	DNA Zoo Consortium	DNA Zoo Consortium			2022-07-13		618789	144088726	14461	646	89	Martes foina	Martes_foina__beach_marten__HLmarFoi1	2	1	1	0	Martes_foina__beach_marten__HLmarFoi1	2	1	1	0	Martes foina	Carnivore	0	50	0	0	20	0	20	0	0	10	Martes foina	1540.8	30	70	0.3	0.1	3.1877462697804595	1.0986122886681096	0.6931471805599453	0.6931471805599453	0.0	Animal_dominant	Martes_foina
Martes_martes__European_pine_marten__HLmarMart2__GCA_963455335.1	Martes martes	European pine marten	Mustela martes	29065	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Musteloidea; Mustelidae; Guloninae; Martes	HLmarMart2	GCA_963455335.1	NCBI	mMarMar1.1	Chromosome	2023-09-20	WELLCOME SANGER INSTITUTE	1599794	146289188	14966	185	45	Martes martes	Martes_martes__European_pine_marten__HLmarMart2__GCA_963455335.1	2	1	1	0	Martes_martes__European_pine_marten__HLmarMart2__GCA_963455335.1	2	1	1	0	Martes martes	Omnivore	0	60	0	0	0	0	40	0	0	0	Martes martes	1300.0	40	60	0.4	0.0	3.113943352306837	1.0986122886681096	0.6931471805599453	0.6931471805599453	0.0	Omnivore	Martes_martes
Martes_martes__European_pine_marten__HLmarMat1	Martes martes	European pine marten		29065	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Musteloidea; Mustelidae; Guloninae; Martes	HLmarMat1	DNA Zoo Consortium	DNA Zoo Consortium			2022-07-14		632693	144638580	14434	695	67	Martes martes	Martes_martes__European_pine_marten__HLmarMat1	2	1	1	0	Martes_martes__European_pine_marten__HLmarMat1	2	1	1	0	Martes martes	Omnivore	0	60	0	0	0	0	40	0	0	0	Martes martes	1300.0	40	60	0.4	0.0	3.113943352306837	1.0986122886681096	0.6931471805599453	0.6931471805599453	0.0	Omnivore	Martes_martes
Microcebus_murinus__Gray_mouse_lemur__HLmicMuri4A__GCF_040939455.1	Microcebus murinus	Gray mouse lemur	grey mouse lemur	30608	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Cheirogaleidae; Microcebus	HLmicMuri4A	GCF_040939455.1	NCBI	M.murinus_Inina_mat1.0	Chromosome	2025-06-05	Stanford University	102817952	105226355	14950	166	80	Microcebus murinus	Microcebus_murinus__Gray_mouse_lemur__HLmicMuri4A__GCF_040939455.1	2	1	1	0	Microcebus_murinus__Gray_mouse_lemur__HLmicMuri4A__GCF_040939455.1	2	1	1	0	Microcebus murinus	Frugivore	20	0	20	0	0	0	30	10	0	20	Microcebus murinus	69.0	60	40	0.6	0.2	1.8388490907372552	1.0986122886681096	0.6931471805599453	0.6931471805599453	0.0	Plant_dominant	Microcebus_murinus
Microcebus_murinus__gray_mouse_lemur__micMur3__GCF_000165445.2	Microcebus murinus	gray mouse lemur	grey mouse lemur	30608	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Cheirogaleidae; Microcebus	micMur3	GCF_000165445.2	NCBI	Mmur_3.0	Chromosome	2017-02-06	Baylor College of Medicine	210702	108171978	14087	947	162	Microcebus murinus	Microcebus_murinus__gray_mouse_lemur__micMur3__GCF_000165445.2	2	1	1	0	Microcebus_murinus__gray_mouse_lemur__micMur3__GCF_000165445.2	2	1	1	0	Microcebus murinus	Frugivore	20	0	20	0	0	0	30	10	0	20	Microcebus murinus	69.0	60	40	0.6	0.2	1.8388490907372552	1.0986122886681096	0.6931471805599453	0.6931471805599453	0.0	Plant_dominant	Microcebus_murinus
