Species_clean	tip_label	Directory Name	assembly	assem	Assembly name	NCBI accession	Taxonomic Lineage	contig N50 (bp)	scaffold N50 (bp)	No. ancestral genes with intact ORF	No. ancestral genes with missing sequences	PGA_all_CN	PGA_all_log1p	PGA_CN_primary	PGA_log1p	PGA_like_CN_primary	PGA_like_log1p	PAG_CN_primary	PAG_log1p	all	pga	pga_like	pag	Diet_Class	Diet_Group	Diet-Inv	Diet-Vend	Diet-Vect	Diet-Vfish	Diet-Vunk	Diet-Scav	Diet-Fruit	Diet-Nect	Diet-Seed	Diet-PlantO	plant_total_pct	plant_total_prop	plant_structural_prop	animal_total_pct	BodyMass-Value	log10_body_mass	Species	Common name	Other species names	Species Taxonomy ID	Source of assembly	NCBI assembly name	NCBI assembly status	Assembly submission date	Assembly submitter organization	No. ancestral genes with inactivating mutations	Scientific	Scientific_clean	High_Order_Diet	Use_High_Order_Diet	plant_dominant_pct	carnivore_pct	insectivore_pct	nectarivore_pct	plant_dominant_prop	carnivore_prop	insectivore_prop	nectarivore_prop	diet_total_pct	CNV_source_col	CNV	CNV_log1p
Peponocephala electra	Peponocephala_electra	Peponocephala_electra__Melon-headed_whale__HLpepElec2A__GCA_051427945.1	Peponocephala_electra__Melon-headed_whale__HLpepElec2A__GCA_051427945.1	Peponocephala_electra__Melon-headed_whale__HLpepElec2A__GCA_051427945.1	HLpepElec2A	GCA_051427945.1	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Delphinidae; Peponocephala	57154926	110605234	14670	13	4	1.6094379124341	1	0.693147180559945	0	0	3	1.38629436111989	4	1	0	3	Omnivore	Omnivore	40	0	0	60	0	0	0	0	0	0	0	0	0	100	206000	5.31386722036915	Peponocephala electra	Melon-headed whale	Lagenorhynchus electra	103596	NCBI	mPepEle1.hap1	Chromosome	2025-07-21	Vertebrate Genomes Project	513	Peponocephala electra	Peponocephala electra	Omnivore	TRUE	0	60	40	0	0	0.6	0.4	0	100	PGA_CN_primary	1	0.693147180559945
Tursiops truncatus	Tursiops_truncatus	Tursiops_truncatus__common_bottlenose_dolphin__HLturTru5__GCF_011762595.1	Tursiops_truncatus__common_bottlenose_dolphin__HLturTru5__GCF_011762595.1	Tursiops_truncatus__common_bottlenose_dolphin__HLturTru5__GCF_011762595.1	HLturTru5	GCF_011762595.1	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Delphinidae; Tursiops	9729386	108430135	14601	28	3	1.38629436111989	1	0.693147180559945	0	0	2	1.09861228866811	3	1	0	2	Carnivore	Animal_dominant	20	0	0	80	0	0	0	0	0	0	0	0	0	100	175000	5.24303804868629	Tursiops truncatus	common bottlenose dolphin	bottle-nosed dolphin,Atlantic bottlenose dolphin	9739	NCBI	mTurTru1.mat.Y	Chromosome	2020-03-27	Vertebrate Genomes Project	567	Tursiops truncatus	Tursiops truncatus	Carnivore	TRUE	0	80	20	0	0	0.8	0.2	0	100	PGA_CN_primary	1	0.693147180559945
Delphinus delphis	Delphinus_delphis	Delphinus_delphis__Saddleback_dolphin__HLdelDelp3__GCA_030062865.2	Delphinus_delphis__Saddleback_dolphin__HLdelDelp3__GCA_030062865.2	Delphinus_delphis__Saddleback_dolphin__HLdelDelp3__GCA_030062865.2	HLdelDelp3	GCA_030062865.2	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Delphinidae; Delphinus	54231611	108933991	14635	7	8	2.19722457733622	1	0.693147180559945	0	0	7	2.07944154167984	8	1	0	7	Insectivore	Animal_dominant	80	0	0	20	0	0	0	0	0	0	0	0	0	100	80000	4.90308998699194	Delphinus delphis	Saddleback dolphin	Black Sea dolphin,common dolphin,short-beaked saddleback dolphin	9728	NCBI	ASM3006286v2	Chromosome	2024-03-15	First Institute of Oceanography, Ministry of Natural Resources	554	Delphinus delphis	Delphinus delphis	Insectivore	TRUE	0	20	80	0	0	0.2	0.8	0	100	PGA_CN_primary	1	0.693147180559945
Inia geoffrensis	Inia_geoffrensis	Inia_geoffrensis__Boutu__HLiniGeo2B__GCA_036417475.1	Inia_geoffrensis__Boutu__HLiniGeo2B__GCA_036417475.1	Inia_geoffrensis__Boutu__HLiniGeo2B__GCA_036417475.1	HLiniGeo2B	GCA_036417475.1	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Iniidae; Inia	41942625	109672245	14084	525	5	1.79175946922805	1	0.693147180559945	0	0	4	1.6094379124341	5	1	0	4	Carnivore	Animal_dominant	10	0	0	90	0	0	0	0	0	0	0	0	0	100	129250	5.11143055176598	Inia geoffrensis	Boutu	Amazon dolphin,pink river dolphin,Delphinus geoffrensis,Amazon river dolphin,Amazon porpoise,boto	9725	NCBI	mIniGeo1.hap2	Chromosome	2024-02-06	Cetaceans Genome Project	587	Inia geoffrensis	Inia geoffrensis	Carnivore	TRUE	0	90	10	0	0	0.9	0.1	0	100	PGA_CN_primary	1	0.693147180559945
Mesoplodon densirostris	Mesoplodon_densirostris	Mesoplodon_densirostris__Blainvilles_beaked_whale__HLmesDen2__GCA_025265405.1	Mesoplodon_densirostris__Blainvilles_beaked_whale__HLmesDen2__GCA_025265405.1	Mesoplodon_densirostris__Blainvilles_beaked_whale__HLmesDen2__GCA_025265405.1	HLmesDen2	GCA_025265405.1	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Ziphiidae; Mesoplodon	48253041	125805690	14607	13	4	1.6094379124341	1	0.693147180559945	0	0	3	1.38629436111989	4	1	0	3	Insectivore	Animal_dominant	80	0	0	20	0	0	0	0	0	0	0	0	0	100	2300000	6.36172783601759	Mesoplodon densirostris	Blainvilles beaked whale		48708	NCBI	mMesDen1 primary haplotype	Chromosome	2022-09-19	Vertebrate Genomes Project	576	Mesoplodon densirostris	Mesoplodon densirostris	Insectivore	TRUE	0	20	80	0	0	0.2	0.8	0	100	PGA_CN_primary	1	0.693147180559945
Kogia sima	Kogia_sima	Kogia_sima__dwarf_sperm_whale__HLkogSim1	Kogia_sima__dwarf_sperm_whale__HLkogSim1	Kogia_sima__dwarf_sperm_whale__HLkogSim1	HLkogSim1	CNGB Sequence Archive	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Physeteridae; Kogia	79492	26525949	12772	752	1	0.693147180559945	1	0.693147180559945	0	0	0	0	1	1	0	0	Insectivore	Animal_dominant	100	0	0	0	0	0	0	0	0	0	0	0	0	100	183066.66	5.26260925802952	Kogia sima	dwarf sperm whale	Kogia simus	9752	CNGB Sequence Archive			2021-10-16		1672	Kogia sima	Kogia sima	Insectivore	TRUE	0	0	100	0	0	0	1	0	100	PGA_CN_primary	1	0.693147180559945
Kogia breviceps	Kogia_breviceps	Kogia_breviceps__pygmy_sperm_whale__HLkogBre3__GCF_026419965.1	Kogia_breviceps__pygmy_sperm_whale__HLkogBre3__GCF_026419965.1	Kogia_breviceps__pygmy_sperm_whale__HLkogBre3__GCF_026419965.1	HLkogBre3	GCF_026419965.1	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Physeteridae; Kogia	42780423	122394096	14593	15	4	1.6094379124341	1	0.693147180559945	0	0	3	1.38629436111989	4	1	0	3	Insectivore	Animal_dominant	100	0	0	0	0	0	0	0	0	0	0	0	0	100	431500	5.63498080005123	Kogia breviceps	pygmy sperm whale	Physeter breviceps	27615	NCBI	mKogBre1 haplotype 1	Chromosome	2022-11-27	Vertebrate Genomes Project	588	Kogia breviceps	Kogia breviceps	Insectivore	TRUE	0	0	100	0	0	0	1	0	100	PGA_CN_primary	1	0.693147180559945
Eubalaena glacialis	Eubalaena_glacialis	Eubalaena_glacialis__North_Atlantic_right_whale__HLeubGla2__GCF_028564815.1	Eubalaena_glacialis__North_Atlantic_right_whale__HLeubGla2__GCF_028564815.1	Eubalaena_glacialis__North_Atlantic_right_whale__HLeubGla2__GCF_028564815.1	HLeubGla2	GCF_028564815.1	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Balaenidae; Eubalaena	37467374	129620717	14860	8	3	1.38629436111989	1	0.693147180559945	0	0	2	1.09861228866811	3	1	0	2	Insectivore	Animal_dominant	100	0	0	0	0	0	0	0	0	0	0	0	0	100	2.3e+07	7.36172783601759	Eubalaena glacialis	North Atlantic right whale	Balaena glacialis,northern right whale	27606	NCBI	mEubGla1.1.hap2.+ XY	Chromosome	2023-02-09	Vertebrate Genomes Project	328	Eubalaena glacialis	Eubalaena glacialis	Insectivore	TRUE	0	0	100	0	0	0	1	0	100	PGA_CN_primary	1	0.693147180559945
Balaenoptera physalus	Balaenoptera_physalus	Balaenoptera_physalus__Fin_whale__HLbalPhy3__GCA_023338255.1	Balaenoptera_physalus__Fin_whale__HLbalPhy3__GCA_023338255.1	Balaenoptera_physalus__Fin_whale__HLbalPhy3__GCA_023338255.1	HLbalPhy3	GCA_023338255.1	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Balaenopteridae; Balaenoptera	146061	24939677	14044	246	1	0.693147180559945	1	0.693147180559945	0	0	0	0	1	1	0	0	Omnivore	Omnivore	70	0	0	30	0	0	0	0	0	0	0	0	0	100	7e+07	7.84509804001426	Balaenoptera physalus	Fin whale	common rorqual,finback whale	9770	NCBI	SBiKF_Bphy_ph2	Scaffold	2022-05-11	Senckenberg BiK-F	906	Balaenoptera physalus	Balaenoptera physalus	Omnivore	TRUE	0	30	70	0	0	0.3	0.7	0	100	PGA_CN_primary	1	0.693147180559945
Balaenoptera musculus	Balaenoptera_musculus	Balaenoptera_musculus__Blue_whale__HLbalMus2__GCF_009873245.2	Balaenoptera_musculus__Blue_whale__HLbalMus2__GCF_009873245.2	Balaenoptera_musculus__Blue_whale__HLbalMus2__GCF_009873245.2	HLbalMus2	GCF_009873245.2	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Balaenopteridae; Balaenoptera	6315640	110314666	14294	26	3	1.38629436111989	1	0.693147180559945	0	0	2	1.09861228866811	3	1	0	2	Insectivore	Animal_dominant	100	0	0	0	0	0	0	0	0	0	0	0	0	100	1.9e+08	8.27875360095283	Balaenoptera musculus	Blue whale		9771	NCBI	mBalMus1.pri.v3	Chromosome	2020-10-02	G10K	876	Balaenoptera musculus	Balaenoptera musculus	Insectivore	TRUE	0	0	100	0	0	0	1	0	100	PGA_CN_primary	1	0.693147180559945
Balaenoptera edeni	Balaenoptera_edeni	Balaenoptera_edeni__Edens_whale__HLbalEden2__GCA_052818205.1	Balaenoptera_edeni__Edens_whale__HLbalEden2__GCA_052818205.1	Balaenoptera_edeni__Edens_whale__HLbalEden2__GCA_052818205.1	HLbalEden2	GCA_052818205.1	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Balaenopteridae; Balaenoptera	56810546	112310848	14849	11	3	1.38629436111989	1	0.693147180559945	0	0	2	1.09861228866811	3	1	0	2	Omnivore	Omnivore	50	0	0	50	0	0	0	0	0	0	0	0	0	100	2e+07	7.30102999566398	Balaenoptera edeni	Edens whale	pygmy Bryde's whale,Balaenoptera edeni edeni	9769	NCBI	BalEdn.hic.v1	Chromosome	2025-09-24	Hong Kong Baptist University	336	Balaenoptera edeni	Balaenoptera edeni	Omnivore	TRUE	0	50	50	0	0	0.5	0.5	0	100	PGA_CN_primary	1	0.693147180559945
Eschrichtius robustus	Eschrichtius_robustus	Eschrichtius_robustus__grey_whale__HLescRob3__GCA_028021215.1	Eschrichtius_robustus__grey_whale__HLescRob3__GCA_028021215.1	Eschrichtius_robustus__grey_whale__HLescRob3__GCA_028021215.1	HLescRob3	GCA_028021215.1	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Eschrichtiidae; Eschrichtius	39209000	126538682	14828	5	3	1.38629436111989	1	0.693147180559945	0	0	2	1.09861228866811	3	1	0	2	Insectivore	Animal_dominant	90	0	0	10	0	0	0	0	0	0	0	0	0	100	28500000	7.45484486000851	Eschrichtius robustus	grey whale	gray whale,California gray whale,Eschrichtius gibbosus,Balaenoptera robusta	9764	NCBI	mEscRob2.pri	Chromosome	2023-01-31	Vertebrate Genomes Project	363	Eschrichtius robustus	Eschrichtius robustus	Insectivore	TRUE	0	10	90	0	0	0.1	0.9	0	100	PGA_CN_primary	1	0.693147180559945
Megaptera novaeangliae	Megaptera_novaeangliae	Megaptera_novaeangliae__Humpback_whale__HLmegNova3__GCA_041834305.1	Megaptera_novaeangliae__Humpback_whale__HLmegNova3__GCA_041834305.1	Megaptera_novaeangliae__Humpback_whale__HLmegNova3__GCA_041834305.1	HLmegNova3	GCA_041834305.1	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Mysticeti; Balaenopteridae; Megaptera	36344089	107416641	14823	11	3	1.38629436111989	1	0.693147180559945	0	0	2	1.09861228866811	3	1	0	2	Insectivore	Animal_dominant	80	0	0	20	0	0	0	0	0	0	0	0	0	100	3e+07	7.47712125471966	Megaptera novaeangliae	Humpback whale	Balaena novaeangliae	9773	NCBI	ASM4183430v1	Chromosome	2024-09-09	University of Colorado - Boulder	362	Megaptera novaeangliae	Megaptera novaeangliae	Insectivore	TRUE	0	20	80	0	0	0.2	0.8	0	100	PGA_CN_primary	1	0.693147180559945
Dama dama	Dama_dama	Dama_dama__fallow_deer__HLdamDam1__GCF_033118175.1	Dama_dama__fallow_deer__HLdamDam1__GCF_033118175.1	Dama_dama__fallow_deer__HLdamDam1__GCF_033118175.1	HLdamDam1	GCF_033118175.1	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Cervinae; Dama	68791581	77069784	15029	3	55	4.02535169073515	1	0.693147180559945	0	0	54	4.00733318523247	55	1	0	54	Herbivore	Plant_dominant	0	0	0	0	0	0	0	0	0	100	100	1	1	0	52375	4.71912403597435	Dama dama	fallow deer	Texas fallow deers,Cervus dama,Texas fallow deer	30532	NCBI	ASM3311817v1	Chromosome	2023-11-02	University of Central Lancashire	164	Dama dama	Dama dama	Plant_dominant	TRUE	100	0	0	0	1	0	0	0	100	PGA_CN_primary	1	0.693147180559945
Cervus nippon	Cervus_nippon	Cervus_nippon__Sika_deer__HLcerNip1__GCA_040085125.1	Cervus_nippon__Sika_deer__HLcerNip1__GCA_040085125.1	Cervus_nippon__Sika_deer__HLcerNip1__GCA_040085125.1	HLcerNip1	GCA_040085125.1	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Cervinae; Cervus	89550226	89550226	14706	5	69	4.24849524204936	1	0.693147180559945	0	0	68	4.23410650459726	69	1	0	68	Herbivore	Plant_dominant	0	0	0	0	0	0	0	0	0	100	100	1	1	0	53000	4.72427586960079	Cervus nippon	Sika deer		9863	NCBI	ASM4008512v1	Chromosome	2024-06-07	Northeast Forestry University	485	Cervus nippon	Cervus nippon	Plant_dominant	TRUE	100	0	0	0	1	0	0	0	100	PGA_CN_primary	1	0.693147180559945
Cervus elaphus	Cervus_elaphus	Cervus_elaphus__red_deer__HLcerEla2__GCF_910594005.1	Cervus_elaphus__red_deer__HLcerEla2__GCF_910594005.1	Cervus_elaphus__red_deer__HLcerEla2__GCF_910594005.1	HLcerEla2	GCF_910594005.1	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Cervinae; Cervus	68741660	83473711	15017	4	50	3.93182563272433	1	0.693147180559945	0	0	49	3.91202300542815	50	1	0	49	Herbivore	Plant_dominant	0	0	0	0	0	0	0	0	0	100	100	1	1	0	165015.85	5.21752566080142	Cervus elaphus	red deer		9860	NCBI	mCerEla1.1	Chromosome	2021-07-07	WELLCOME SANGER INSTITUTE	175	Cervus elaphus	Cervus elaphus	Plant_dominant	TRUE	100	0	0	0	1	0	0	0	100	PGA_CN_primary	1	0.693147180559945
Axis porcinus	Axis_porcinus	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	Axis_porcinus__Hog_deer__HLaxiPorc2A__GCA_054883215.1	HLaxiPorc2A	GCA_054883215.1	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Cervinae; Axis	54160790	81775362	14969	44	52	3.97029191355212	1	0.693147180559945	0	0	51	3.95124371858143	52	1	0	51	Herbivore	Plant_dominant	0	0	0	0	0	0	10	0	0	90	100	1	0.9	0	34418.5	4.53679193932338	Axis porcinus	Hog deer	Cervus porcinus	57737	NCBI	mAxiPor1.hap1	Chromosome	2026-01-30	Vertebrate Genomes Project	183	Axis porcinus	Axis porcinus	Plant_dominant	TRUE	100	0	0	0	1	0	0	0	100	PGA_CN_primary	1	0.693147180559945
Muntiacus gongshanensis	Muntiacus_gongshanensis	Muntiacus_gongshanensis__Gongshanensis_muntjac__HLmunGon1__GCA_020226025.1	Muntiacus_gongshanensis__Gongshanensis_muntjac__HLmunGon1__GCA_020226025.1	Muntiacus_gongshanensis__Gongshanensis_muntjac__HLmunGon1__GCA_020226025.1	HLmunGon1	GCA_020226025.1	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Muntiacinae; Muntiacus	24226309	24473636	13853	240	37	3.63758615972639	1	0.693147180559945	0	0	36	3.61091791264422	37	1	0	36	Herbivore	Plant_dominant	0	0	0	0	0	0	20	0	0	80	100	1	0.8	0	19906.73	4.29899992604498	Muntiacus gongshanensis	Gongshanensis muntjac		145526	NCBI	ASM2022602v1	Scaffold	2021-10-04	Northwestern Polytechnical University	1103	Muntiacus gongshanensis	Muntiacus gongshanensis	Plant_dominant	TRUE	100	0	0	0	1	0	0	0	100	PGA_CN_primary	1	0.693147180559945
Muntiacus crinifrons	Muntiacus_crinifrons	Muntiacus_crinifrons__black_muntjac__HLmunCri2__GCA_020276665.1	Muntiacus_crinifrons__black_muntjac__HLmunCri2__GCA_020276665.1	Muntiacus_crinifrons__black_muntjac__HLmunCri2__GCA_020276665.1	HLmunCri2	GCA_020276665.1	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Muntiacinae; Muntiacus	25225000	646574120	14827	15	38	3.66356164612965	1	0.693147180559945	0	0	37	3.63758615972639	38	1	0	37	Herbivore	Plant_dominant	0	0	0	0	0	0	20	0	0	80	100	1	0.8	0	36140.99	4.55800004489476	Muntiacus crinifrons	black muntjac		71854	NCBI	ASM2027666v1	Chromosome	2021-10-05	Northwestern Polytechnical University	354	Muntiacus crinifrons	Muntiacus crinifrons	Plant_dominant	TRUE	100	0	0	0	1	0	0	0	100	PGA_CN_primary	1	0.693147180559945
Capreolus capreolus	Capreolus_capreolus	Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	HLcapCap1	GCA_951849835.1	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Odocoileinae; Capreolus	69851389	69851389	14891	6	39	3.68887945411394	1	0.693147180559945	0	0	38	3.66356164612965	39	1	0	38	Herbivore	Plant_dominant	0	0	0	0	0	0	0	0	0	100	100	1	1	0	22500	4.35218251811136	Capreolus capreolus	Western roe deer	Cervus capreolus	9858	NCBI	ETH_CapCap1	Contig	2023-07-15	ETH ZURICH	299	Capreolus capreolus	Capreolus capreolus	Plant_dominant	TRUE	100	0	0	0	1	0	0	0	100	PGA_CN_primary	1	0.693147180559945
Bos taurus	Bos_taurus	Bos_taurus__cattle__HLbosTau10__GCF_002263795.3	Bos_taurus__cattle__HLbosTau10__GCF_002263795.3	Bos_taurus__cattle__HLbosTau10__GCF_002263795.3	HLbosTau10	GCF_002263795.3	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos	26402946	103308737	14894	3	53	3.98898404656427	1	0.693147180559945	0	0	52	3.97029191355212	53	1	0	52	Herbivore	Plant_dominant	0	0	0	0	0	0	0	0	0	100	100	1	1	0	9e+05	5.95424250943933	Bos taurus	cattle	domestic cow,bovine,Bos bovis,cow,dairy cow,domestic cattle,ox,Bovidae sp. Adi Nefas,Bos primigenius taurus	9913	NCBI	ARS-UCD2.0	Chromosome	2023-07-01	USDA ARS	299	Bos taurus	Bos taurus	Plant_dominant	TRUE	100	0	0	0	1	0	0	0	100	PGA_CN_primary	1	0.693147180559945
Bos javanicus	Bos_javanicus	Bos_javanicus__banteng__HLbosJav1__GCF_032452875.1	Bos_javanicus__banteng__HLbosJav1__GCF_032452875.1	Bos_javanicus__banteng__HLbosJav1__GCF_032452875.1	HLbosJav1	GCF_032452875.1	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bos	47146240	87549292	15059	0	60	4.11087386417331	1	0.693147180559945	0	0	59	4.0943445622221	60	1	0	59	Herbivore	Plant_dominant	0	0	0	0	0	0	0	0	0	100	100	1	1	0	625000	5.79588001734407	Bos javanicus	banteng	wild banteng,Bos banteng,Bos sondaicus	9906	NCBI	ARS-OSU_banteng_1.0	Chromosome	2023-10-11	Ruminant T2T Consortium	137	Bos javanicus	Bos javanicus	Plant_dominant	TRUE	100	0	0	0	1	0	0	0	100	PGA_CN_primary	1	0.693147180559945
Bison bonasus	Bison_bonasus	Bison_bonasus__European_bison__HLbisBon1__GCA_963879515.1	Bison_bonasus__European_bison__HLbisBon1__GCA_963879515.1	Bison_bonasus__European_bison__HLbisBon1__GCA_963879515.1	HLbisBon1	GCA_963879515.1	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Bison	91242619	104743180	15036	6	61	4.12713438504509	1	0.693147180559945	0	0	60	4.11087386417331	61	1	0	60	Herbivore	Plant_dominant	0	0	0	0	0	0	0	0	0	100	100	1	1	0	5e+05	5.69897000433602	Bison bonasus	European bison	Bison bison bonasus,Bos bonasus,bison,wisent	9902	NCBI	ETH_BisBon1	Scaffold	2023-12-17	ETH ZURICH	154	Bison bonasus	Bison bonasus	Plant_dominant	TRUE	100	0	0	0	1	0	0	0	100	PGA_CN_primary	1	0.693147180559945
Pantholops hodgsonii	Pantholops_hodgsonii	Pantholops_hodgsonii__Chiru__HLpanHodg2__GCA_040182635.1	Pantholops_hodgsonii__Chiru__HLpanHodg2__GCA_040182635.1	Pantholops_hodgsonii__Chiru__HLpanHodg2__GCA_040182635.1	HLpanHodg2	GCA_040182635.1	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Antilopinae; Pantholops	84561976	92232156	15001	10	96	4.57471097850338	1	0.693147180559945	0	0	95	4.56434819146784	96	1	0	95	Herbivore	Plant_dominant	0	0	0	0	0	0	0	0	0	100	100	1	1	0	27500	4.43933269383026	Pantholops hodgsonii	Chiru	Tibetan antelope,Pantholops hodgsoni	59538	NCBI	NWIPB_Pahodg_1.0	Chromosome	2024-06-17	Northwest Institute of Plateau Biology, Chinese Academy of Sciences	185	Pantholops hodgsonii	Pantholops hodgsonii	Plant_dominant	TRUE	100	0	0	0	1	0	0	0	100	PGA_CN_primary	1	0.693147180559945
Capra nubiana	Capra_nubiana	Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	HLcapNubi1A	GCA_054855995.1	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Caprinae; Capra	91324156	95383454	15059	11	67	4.21950770517611	1	0.693147180559945	0	0	66	4.20469261939097	67	1	0	66	Herbivore	Plant_dominant	0	0	0	0	0	0	0	0	0	100	100	1	1	0	62624.84	4.79674662929916	Capra nubiana	Nubian ibex	Capra ibex nubiana,Capra nubiana nubiana	72543	NCBI	mCapNub1.hap1	Chromosome	2026-01-30	Vertebrate Genomes Project	126	Capra nubiana	Capra nubiana	Plant_dominant	TRUE	100	0	0	0	1	0	0	0	100	PGA_CN_primary	1	0.693147180559945
Capra hircus	Capra_hircus	Capra_hircus__Goat__HLcapHirc3__GCA_041735815.1	Capra_hircus__Goat__HLcapHirc3__GCA_041735815.1	Capra_hircus__Goat__HLcapHirc3__GCA_041735815.1	HLcapHirc3	GCA_041735815.1	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Caprinae; Capra	100793790	100793790	15057	4	80	4.39444915467244	1	0.693147180559945	0	0	79	4.38202663467388	80	1	0	79	Herbivore	Plant_dominant	0	0	0	0	0	0	0	0	0	100	100	1	1	0	54250	4.73439974252057	Capra hircus	Goat	Capra aegagrus hircus,African dwarf goats,Naine d'Afrique de l'Ouest,African dwarf goat,domestic goat,goats	9925	NCBI	T2T-goat2.0	Complete Genome	2024-09-04	China Agricultural University	135	Capra hircus	Capra hircus	Plant_dominant	TRUE	100	0	0	0	1	0	0	0	100	PGA_CN_primary	1	0.693147180559945
Capra ibex	Capra_ibex	Capra_ibex__Alpine_ibex__HLcapIbex2__GCA_054642885.1	Capra_ibex__Alpine_ibex__HLcapIbex2__GCA_054642885.1	Capra_ibex__Alpine_ibex__HLcapIbex2__GCA_054642885.1	HLcapIbex2	GCA_054642885.1	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Caprinae; Capra	58703036	101249638	14945	8	78	4.36944785246702	1	0.693147180559945	0	0	77	4.35670882668959	78	1	0	77	Herbivore	Plant_dominant	0	0	0	0	0	0	0	0	0	100	100	1	1	0	85166.51	4.93026885085246	Capra ibex	Alpine ibex	ibex	72542	NCBI	CapIbe1.0	Chromosome	2026-01-07	Istituto Italiano di Tecnologia	243	Capra ibex	Capra ibex	Plant_dominant	TRUE	100	0	0	0	1	0	0	0	100	PGA_CN_primary	1	0.693147180559945
