id	header	gene	species	cluster_best	cluster_at_ngenes
HLbosTau10.NM_176629_ENSBTAG00000050440_85_Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	HLbosTau10.NM_176629#ENSBTAG00000050440#85	ENSBTAG00000050440	Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	PAG	2
HLbosTau10.ENSBTAT00000017669_ENSBTAG00000035736_7961_Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	HLbosTau10.ENSBTAT00000017669#ENSBTAG00000035736#7961	ENSBTAG00000035736	Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	PAG	2
HLbosTau10.ENSBTAT00000005384_PAG10_352723_Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	HLbosTau10.ENSBTAT00000005384#PAG10#352723	PAG10	Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	PAG	2
HLbosTau10.ENSBTAT00000063428_ENSBTAG00000051196_353_Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	HLbosTau10.ENSBTAT00000063428#ENSBTAG00000051196#353	ENSBTAG00000051196	Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	PAG	2
HLbosTau10.ENSBTAT00000077609_ENSBTAG00000053183_500_Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	HLbosTau10.ENSBTAT00000077609#ENSBTAG00000053183#500	ENSBTAG00000053183	Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	PAG	2
HLbosTau10.ENSBTAT00000018996_ENSBTAG00000040257_257477_Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	HLbosTau10.ENSBTAT00000018996#ENSBTAG00000040257#257477	ENSBTAG00000040257	Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	PAG	2
HLbosTau10.ENSBTAT00000063428_ENSBTAG00000051196_741_Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	HLbosTau10.ENSBTAT00000063428#ENSBTAG00000051196#741	ENSBTAG00000051196	Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	PAG	2
HLbosTau10.ENSBTAT00000007506_MGC157408_103_Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	HLbosTau10.ENSBTAT00000007506#MGC157408#103	MGC157408	Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	PAG	2
HLbosTau10.NM_176630_PAG21_461_Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	HLbosTau10.NM_176630#PAG21#461	PAG21	Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	PAG	2
HLbosTau10.ENSBTAT00000007506_MGC157408_2092_Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	HLbosTau10.ENSBTAT00000007506#MGC157408#2092	MGC157408	Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	PAG	2
HLbosTau10.ENSBTAT00000038954_PAG21_1062931_Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	HLbosTau10.ENSBTAT00000038954#PAG21#1062931	PAG21	Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	PAG	2
HLbosTau10.ENSBTAT00000025567_PAG12_121400_Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	HLbosTau10.ENSBTAT00000025567#PAG12#121400	PAG12	Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	PAG	2
HLbosTau10.ENSBTAT00000007506_MGC157408_353_Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	HLbosTau10.ENSBTAT00000007506#MGC157408#353	MGC157408	Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	PAG	2
HLbosTau10.ENSBTAT00000025567_PAG12_41724_Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	HLbosTau10.ENSBTAT00000025567#PAG12#41724	PAG12	Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	PAG	2
HLbosTau10.NM_001105381_MGC157408_4271_Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	HLbosTau10.NM_001105381#MGC157408#4271	MGC157408	Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	PAG	2
HLbosTau10.NM_176628_PAG19_106_Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	HLbosTau10.NM_176628#PAG19#106	PAG19	Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	PAG	2
HLbosTau10.ENSBTAT00000013786_PAG7_1347_Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	HLbosTau10.ENSBTAT00000013786#PAG7#1347	PAG7	Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	PAG	2
HLbosTau10.ENSBTAT00000009701_ENSBTAG00000038506_4626_Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	HLbosTau10.ENSBTAT00000009701#ENSBTAG00000038506#4626	ENSBTAG00000038506	Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	PAG	2
HLbosTau10.ENSBTAT00000038954_PAG21_7094_Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	HLbosTau10.ENSBTAT00000038954#PAG21#7094	PAG21	Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	PAG	2
HLbosTau10.ENSBTAT00000007506_MGC157408_299_Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	HLbosTau10.ENSBTAT00000007506#MGC157408#299	MGC157408	Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	PAG	2
HLbosTau10.ENSBTAT00000063428_ENSBTAG00000051196_27_Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	HLbosTau10.ENSBTAT00000063428#ENSBTAG00000051196#27	ENSBTAG00000051196	Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	PAG	2
HLbosTau10.ENSBTAT00000025567_PAG12_141302_Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	HLbosTau10.ENSBTAT00000025567#PAG12#141302	PAG12	Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	PAG	2
HLbosTau10.ENSBTAT00000030188_ENSBTAG00000024611_63809_Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	HLbosTau10.ENSBTAT00000030188#ENSBTAG00000024611#63809	ENSBTAG00000024611	Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	PAG	2
HLbosTau10.ENSBTAT00000007506_MGC157408_132_Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	HLbosTau10.ENSBTAT00000007506#MGC157408#132	MGC157408	Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	PAG	2
HLbosTau10.ENSBTAT00000038878_PAG6_175_Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	HLbosTau10.ENSBTAT00000038878#PAG6#175	PAG6	Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	PAG	2
HLbosTau10.ENSBTAT00000052386_MGC157405_5811_Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	HLbosTau10.ENSBTAT00000052386#MGC157405#5811	MGC157405	Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	PAG	2
HLbosTau10.ENSBTAT00000052386_MGC157405_144_Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	HLbosTau10.ENSBTAT00000052386#MGC157405#144	MGC157405	Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	PAG	2
HLbosTau10.NM_176628_PAG19_132_Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	HLbosTau10.NM_176628#PAG19#132	PAG19	Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	PAG	2
HLbosTau10.ENSBTAT00000050648_PAG9_272_Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	HLbosTau10.ENSBTAT00000050648#PAG9#272	PAG9	Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	PAG	2
HLbosTau10.ENSBTAT00000013786_PAG7_1606_Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	HLbosTau10.ENSBTAT00000013786#PAG7#1606	PAG7	Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	PAG	2
HLbosTau10.ENSBTAT00000025567_PAG12_40501_Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	HLbosTau10.ENSBTAT00000025567#PAG12#40501	PAG12	Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	PAG	2
HLbosTau10.ENSBTAT00000009701_ENSBTAG00000038506_144_Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	HLbosTau10.ENSBTAT00000009701#ENSBTAG00000038506#144	ENSBTAG00000038506	Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	PAG	2
HLbosTau10.ENSBTAT00000038878_PAG6_1908_Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	HLbosTau10.ENSBTAT00000038878#PAG6#1908	PAG6	Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	PAG	2
HLbosTau10.ENSBTAT00000030188_ENSBTAG00000024611_7080_Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	HLbosTau10.ENSBTAT00000030188#ENSBTAG00000024611#7080	ENSBTAG00000024611	Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	PAG	2
HLbosTau10.ENSBTAT00000025567_PAG12_14051_Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	HLbosTau10.ENSBTAT00000025567#PAG12#14051	PAG12	Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	PAG	2
HLbosTau10.ENSBTAT00000005384_PAG10_138761_Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	HLbosTau10.ENSBTAT00000005384#PAG10#138761	PAG10	Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	PAG	2
HLbosTau10.ENSBTAT00000005384_PAG10_53054_Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	HLbosTau10.ENSBTAT00000005384#PAG10#53054	PAG10	Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	PAG	2
HLbosTau10.ENSBTAT00000005384_PAG10_14051_Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	HLbosTau10.ENSBTAT00000005384#PAG10#14051	PAG10	Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	PAG	2
HLbosTau10.ENSBTAT00000063428_ENSBTAG00000051196_1002_Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	HLbosTau10.ENSBTAT00000063428#ENSBTAG00000051196#1002	ENSBTAG00000051196	Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	PAG	2
HLbosTau10.ENSBTAT00000013786_PAG7_31463_Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	HLbosTau10.ENSBTAT00000013786#PAG7#31463	PAG7	Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	PAG	2
HLbosTau10.ENSBTAT00000017669_ENSBTAG00000035736_40393_Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	HLbosTau10.ENSBTAT00000017669#ENSBTAG00000035736#40393	ENSBTAG00000035736	Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	PAG	2
HLbosTau10.NM_176619_PAG8_16938_Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	HLbosTau10.NM_176619#PAG8#16938	PAG8	Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	PAG	4
HLbosTau10.ENSBTAT00000005384_PAG10_31811_Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	HLbosTau10.ENSBTAT00000005384#PAG10#31811	PAG10	Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	PAG	4
HLbosTau10.ENSBTAT00000038878_PAG6_13674_Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	HLbosTau10.ENSBTAT00000038878#PAG6#13674	PAG6	Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	PAG	4
HLbosTau10.ENSBTAT00000038878_PAG6_57160_Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	HLbosTau10.ENSBTAT00000038878#PAG6#57160	PAG6	Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	PAG	4
HLbosTau10.ENSBTAT00000017585_ENSBTAG00000013214_5671_Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	HLbosTau10.ENSBTAT00000017585#ENSBTAG00000013214#5671	ENSBTAG00000013214	Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	PAG	4
HLbosTau10.ENSBTAT00000030466_PAG18_384_Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	HLbosTau10.ENSBTAT00000030466#PAG18#384	PAG18	Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	PAG	4
HLbosTau10.ENSBTAT00000030188_ENSBTAG00000024611_384_Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	HLbosTau10.ENSBTAT00000030188#ENSBTAG00000024611#384	ENSBTAG00000024611	Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	PAG	4
HLbosTau10.ENSBTAT00000063428_ENSBTAG00000051196_23908_Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	HLbosTau10.ENSBTAT00000063428#ENSBTAG00000051196#23908	ENSBTAG00000051196	Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	PAG	4
hg38.ENST00000312403.10_PGA5_4305_Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	hg38.ENST00000312403.10#PGA5#4305	PGA5	Capra_nubiana__Nubian_ibex__HLcapNubi1A__GCA_054855995.1	PGA	38
HLbosTau10.ENSBTAT00000064112_ENSBTAG00000054180_3194_Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	HLbosTau10.ENSBTAT00000064112#ENSBTAG00000054180#3194	ENSBTAG00000054180	Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	PAG	4
HLbosTau10.ENSBTAT00000025593_PAG5_55186_Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	HLbosTau10.ENSBTAT00000025593#PAG5#55186	PAG5	Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	PAG	4
HLbosTau10.ENSBTAT00000017669_ENSBTAG00000035736_3221_Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	HLbosTau10.ENSBTAT00000017669#ENSBTAG00000035736#3221	ENSBTAG00000035736	Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	PAG	2
mm10.ENSMUST00000025647_Pga5_9910_Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	mm10.ENSMUST00000025647#Pga5#9910	Pga5	Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	PAG	2
HLbosTau10.ENSBTAT00000025567_PAG12_13402_Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	HLbosTau10.ENSBTAT00000025567#PAG12#13402	PAG12	Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	PAG	2
HLbosTau10.ENSBTAT00000005384_PAG10_45001_Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	HLbosTau10.ENSBTAT00000005384#PAG10#45001	PAG10	Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	PAG	2
mm10.ENSMUST00000025647_Pga5_12901_Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	mm10.ENSMUST00000025647#Pga5#12901	Pga5	Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	PAG	2
HLbosTau10.ENSBTAT00000030243_PAG3_51668_Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	HLbosTau10.ENSBTAT00000030243#PAG3#51668	PAG3	Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	PAG	2
HLbosTau10.ENSBTAT00000013786_PAG7_84_Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	HLbosTau10.ENSBTAT00000013786#PAG7#84	PAG7	Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	PAG	2
HLbosTau10.ENSBTAT00000013786_PAG7_27_Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	HLbosTau10.ENSBTAT00000013786#PAG7#27	PAG7	Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	PAG	2
mm10.ENSMUST00000025647_Pga5_17001_Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	mm10.ENSMUST00000025647#Pga5#17001	Pga5	Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	PAG	2
mm10.ENSMUST00000025647_Pga5_245145_Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	mm10.ENSMUST00000025647#Pga5#245145	Pga5	Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	PAG	2
HLbosTau10.ENSBTAT00000025593_PAG5_353_Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	HLbosTau10.ENSBTAT00000025593#PAG5#353	PAG5	Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	PAG	2
HLbosTau10.ENSBTAT00000013786_PAG7_88_Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	HLbosTau10.ENSBTAT00000013786#PAG7#88	PAG7	Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	PAG	2
HLbosTau10.ENSBTAT00000027020_ENSBTAG00000035736_118_Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	HLbosTau10.ENSBTAT00000027020#ENSBTAG00000035736#118	ENSBTAG00000035736	Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	PAG	2
HLbosTau10.ENSBTAT00000025597_PAG8_54633_Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	HLbosTau10.ENSBTAT00000025597#PAG8#54633	PAG8	Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	PAG	2
HLbosTau10.XM_002707800_ENSBTAG00000051501_599782_Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	HLbosTau10.XM_002707800#ENSBTAG00000051501#599782	ENSBTAG00000051501	Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	PAG	2
HLbosTau10.NM_176625_PAG16_110_Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	HLbosTau10.NM_176625#PAG16#110	PAG16	Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	PAG	2
HLbosTau10.ENSBTAT00000017669_ENSBTAG00000035736_84_Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	HLbosTau10.ENSBTAT00000017669#ENSBTAG00000035736#84	ENSBTAG00000035736	Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	PAG	2
HLbosTau10.ENSBTAT00000064112_ENSBTAG00000054180_11323_Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	HLbosTau10.ENSBTAT00000064112#ENSBTAG00000054180#11323	ENSBTAG00000054180	Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	PAG	2
HLbosTau10.ENSBTAT00000005384_PAG10_432251_Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	HLbosTau10.ENSBTAT00000005384#PAG10#432251	PAG10	Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	PAG	2
HLbosTau10.NM_001105381_MGC157408_149_Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	HLbosTau10.NM_001105381#MGC157408#149	MGC157408	Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	PAG	2
HLbosTau10.ENSBTAT00000005384_PAG10_259486_Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	HLbosTau10.ENSBTAT00000005384#PAG10#259486	PAG10	Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	PAG	2
mm10.ENSMUST00000025647_Pga5_17433_Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	mm10.ENSMUST00000025647#Pga5#17433	Pga5	Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	PAG	2
HLbosTau10.ENSBTAT00000005384_PAG10_353_Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	HLbosTau10.ENSBTAT00000005384#PAG10#353	PAG10	Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	PAG	2
mm10.ENSMUST00000025647_Pga5_22521_Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	mm10.ENSMUST00000025647#Pga5#22521	Pga5	Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	PAG	2
HLbosTau10.NM_001304571_PAG14_622995_Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	HLbosTau10.NM_001304571#PAG14#622995	PAG14	Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	PAG	2
HLbosTau10.ENSBTAT00000005384_PAG10_402298_Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	HLbosTau10.ENSBTAT00000005384#PAG10#402298	PAG10	Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	PAG	2
mm10.ENSMUST00000025647_Pga5_4779_Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	mm10.ENSMUST00000025647#Pga5#4779	Pga5	Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	PAG	4
mm10.ENSMUST00000025647_Pga5_9346_Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	mm10.ENSMUST00000025647#Pga5#9346	Pga5	Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	PAG	4
HLbosTau10.ENSBTAT00000030243_PAG3_1012_Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	HLbosTau10.ENSBTAT00000030243#PAG3#1012	PAG3	Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	PAG	4
HLbosTau10.ENSBTAT00000025517_PAG2_1616051_Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	HLbosTau10.ENSBTAT00000025517#PAG2#1616051	PAG2	Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	PAG	4
HLbosTau10.ENSBTAT00000013786_PAG7_334_Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	HLbosTau10.ENSBTAT00000013786#PAG7#334	PAG7	Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	PAG	4
HLbosTau10.ENSBTAT00000038878_PAG6_117631_Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	HLbosTau10.ENSBTAT00000038878#PAG6#117631	PAG6	Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	PAG	4
HLbosTau10.ENSBTAT00000013786_PAG7_203_Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	HLbosTau10.ENSBTAT00000013786#PAG7#203	PAG7	Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	PAG	4
HLbosTau10.ENSBTAT00000005399_PAG11_22218_Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	HLbosTau10.ENSBTAT00000005399#PAG11#22218	PAG11	Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	PAG	4
HLbosTau10.ENSBTAT00000005399_PAG11_3064_Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	HLbosTau10.ENSBTAT00000005399#PAG11#3064	PAG11	Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	PAG	4
HLbosTau10.ENSBTAT00000030466_PAG18_965071_Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	HLbosTau10.ENSBTAT00000030466#PAG18#965071	PAG18	Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	PAG	4
hg38.ENST00000312403.10_PGA5_4394_Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	hg38.ENST00000312403.10#PGA5#4394	PGA5	Capreolus_capreolus__Western_roe_deer__HLcapCap1__GCA_951849835.1	PGA	38
hg38.ENST00000325558.11_PGA3_69_Capricornis_sumatraensis__Sumatran_serow__HLcapSum1__GCF_032405125.1	hg38.ENST00000325558.11#PGA3#69	PGA3	Capricornis_sumatraensis__Sumatran_serow__HLcapSum1__GCF_032405125.1	PGA	38
HLbosTau10.ENSBTAT00000005399_PAG11_7824_Capricornis_sumatraensis__Sumatran_serow__HLcapSum1__GCF_032405125.1	HLbosTau10.ENSBTAT00000005399#PAG11#7824	PAG11	Capricornis_sumatraensis__Sumatran_serow__HLcapSum1__GCF_032405125.1	PAG	4
HLbosTau10.ENSBTAT00000064112_ENSBTAG00000054180_104332_Capricornis_sumatraensis__Sumatran_serow__HLcapSum1__GCF_032405125.1	HLbosTau10.ENSBTAT00000064112#ENSBTAG00000054180#104332	ENSBTAG00000054180	Capricornis_sumatraensis__Sumatran_serow__HLcapSum1__GCF_032405125.1	PAG	4
HLbosTau10.ENSBTAT00000038878_PAG6_8259_Capricornis_sumatraensis__Sumatran_serow__HLcapSum1__GCF_032405125.1	HLbosTau10.ENSBTAT00000038878#PAG6#8259	PAG6	Capricornis_sumatraensis__Sumatran_serow__HLcapSum1__GCF_032405125.1	PAG	4
HLbosTau10.NM_174411_ENSBTAG00000054180_1371122_Capricornis_sumatraensis__Sumatran_serow__HLcapSum1__GCF_032405125.1	HLbosTau10.NM_174411#ENSBTAG00000054180#1371122	ENSBTAG00000054180	Capricornis_sumatraensis__Sumatran_serow__HLcapSum1__GCF_032405125.1	PAG	4
HLbosTau10.ENSBTAT00000030188_ENSBTAG00000024611_398_Capricornis_sumatraensis__Sumatran_serow__HLcapSum1__GCF_032405125.1	HLbosTau10.ENSBTAT00000030188#ENSBTAG00000024611#398	ENSBTAG00000024611	Capricornis_sumatraensis__Sumatran_serow__HLcapSum1__GCF_032405125.1	PAG	4
